SITE_N,vegEmerg,vegSubmerg,organicDebris,sand,cobbles,boulders,bedrock,woodCoarse,woodFine
BEF.LML.001,1,1,0,1,0,1,0,1,0
BEF.LML.002,0,0,0,1,1,0,0,0,0
BEF.LML.003,0,0,0,1,1,1,0,0,0
BEF.LML.004,1,1,0,1,0,0,0,0,0
BEF.LML.005,1,1,1,1,0,1,1,1,1
BEF.LML.006,0,0,1,1,1,1,1,1,1
BEF.LML.007,0,1,0,1,1,1,0,1,0
BEF.LML.008,0,0,0,1,1,1,1,0,0
BEF.LML.009,0,0,0,1,0,1,1,0,0
BEF.LML.010,0,0,0,0,1,1,1,1,1
BEF.LML.011,0,0,1,1,0,1,0,0,0
BEF.LML.012,1,1,0,1,1,0,0,0,0
BEF.LML.013,0,0,0,0,1,1,1,0,0
BEF.LML.014,0,0,0,0,0,0,1,1,0
BEF.LML.015,0,0,0,0,0,0,1,1,0
BEF.LML.016,0,0,0,1,1,0,0,0,0
BEF.LML.017,0,1,0,1,1,1,0,1,0
BEF.LML.018,1,1,1,1,0,0,0,1,1
BEF.LML.019,1,1,1,1,0,1,0,1,1
BEF.LML.020,1,1,0,1,0,0,0,1,1
BEF.LML.021,1,1,0,1,1,0,0,0,0
BEF.LML.022,0,1,0,1,1,0,0,0,0
BEF.LML.023,0,0,0,1,0,0,0,1,1
BEF.LML.024,0,0,0,1,0,0,0,1,1
BEF.LML.025,0,0,0,1,0,0,0,1,1
BEF.LML.026,0,0,1,0,0,1,0,1,1
BEF.LML.027,0,0,1,1,0,0,0,1,1
BEF.LML.028,1,1,0,1,1,1,0,0,0
BEF.LML.030,0,0,0,1,1,1,0,0,0
BEF.LML.031,1,1,0,1,0,0,0,1,0
BEF.LML.033,1,1,0,1,0,0,0,1,1
