"","community1","SpeciesA","meanA","community2","SpeciesB","meanB","mean_dify"
"1",1,"BB","4.19 (1.4, 11.88)",1,"MM","0.32 (0.11, 0.89)","3.87 (1.01, 11.51)"
"2",1,"CC","2.54 (1.23, 5.28)",1,"MM","0.32 (0.11, 0.89)","2.22 (0.79, 4.99)"
"3",1,"CS","1.71 (0.59, 4.68)",1,"MM","0.32 (0.11, 0.89)","1.39 (0.11, 4.35)"
"4",1,"LT","2.37 (2.05, 2.73)",1,"MM","0.32 (0.11, 0.89)","2.05 (1.42, 2.5)"
"5",1,"MM","0.32 (0.11, 0.89)",1,"PS","2.65 (1.3, 5.46)","2.33 (5.15, 0.88)"
"6",1,"MM","0.32 (0.11, 0.89)",1,"RS","1.84 (0.85, 3.86)","1.52 (3.58, 0.39)"
"7",1,"SMB","4.15 (3.12, 5.51)",1,"LT","2.37 (2.05, 2.73)","1.78 (3.18, 0.67)"
"8",1,"SMB","4.15 (3.12, 5.51)",1,"MM","0.32 (0.11, 0.89)","3.83 (5.23, 2.65)"
"9",1,"SMB","4.15 (3.12, 5.51)",1,"RS","1.84 (0.85, 3.86)","2.31 (4.03, 0.06)"
"10",1,"SS","2.28 (0.78, 6.21)",1,"MM","0.32 (0.11, 0.89)","1.96 (5.93, 0.34)"
"11",1,"BB","4.19 (1.4, 11.88)",2,"CS","1.04 (0.7, 1.53)","3.15 (0.32, 10.9)"
"12",1,"CC","2.54 (1.23, 5.28)",2,"CS","1.04 (0.7, 1.53)","1.51 (0.08, 4.31)"
"13",1,"CS","1.71 (0.59, 4.68)",2,"PS","4.68 (3.18, 6.95)","1.62 (0.16, 4.48)"
"14",1,"LT","2.37 (2.05, 2.73)",2,"PS","4.68 (3.18, 6.95)","2.31 (4.61, 0.77)"
"15",1,"MM","0.32 (0.11, 0.89)",2,"MM","2.76 (1.46, 5.2)","2.44 (4.91, 0.99)"
"16",1,"SMB","4.15 (3.12, 5.51)",2,"CC","1.47 (0.58, 3.63)","2.67 (0.29, 4.41)"
"17",1,"SMB","4.15 (3.12, 5.51)",2,"CS","1.04 (0.7, 1.53)","3.11 (1.96, 4.52)"
"18",2,"CC","1.47 (0.58, 3.63)",2,"PS","4.68 (3.18, 6.95)","3.21 (5.75, 0.66)"
"19",2,"WS","4.05 (1.58, 10.26)",2,"CS","1.04 (0.7, 1.53)","3.01 (9.26, 0.48)"
